route,total_shipments,avg_tariff,avg_transit_days,delay_rate,total_revenue,avg_chargeable_wt,revenue_per_shipment,demand_score,pricing_action
Agra_to_Ahmedabad,43,392.6502325581395,2.7674418604651163,0.3023255813953488,19905.22,6.674883720930232,462.91209302325586,0.5526315789473684,Maintain current tariff
Agra_to_Amritsar,44,453.0229545454545,3.227272727272727,0.5,22412.03,8.229318181818181,509.36431818181813,0.5789473684210527,Maintain current tariff
Agra_to_Aurangabad,35,483.89457142857145,3.085714285714286,0.45714285714285713,19411.53,8.256571428571428,554.6151428571428,0.3421052631578947,Maintain current tariff
Agra_to_Bangalore,31,443.2077419354839,3.096774193548387,0.45161290322580644,15741.75,7.164193548387097,507.7983870967742,0.23684210526315785,Increase tariff by 10-15% to improve margin
Agra_to_Bhopal,49,382.0002040816326,2.8979591836734695,0.3673469387755102,22206.72,6.593877551020409,453.1983673469388,0.7105263157894737,Reduce tariff by 5-10% to gain more volume
Agra_to_Bhubaneswar,37,454.12108108108106,3.027027027027027,0.40540540540540543,18729.6,8.23027027027027,506.2054054054054,0.39473684210526305,Maintain current tariff
Agra_to_Chandigarh,47,458.75787234042554,2.978723404255319,0.40425531914893614,24782.01,7.894468085106383,527.2768085106383,0.6578947368421051,Reduce tariff by 5-10% to gain more volume
Agra_to_Chennai,38,547.625,3.0789473684210527,0.39473684210526316,23077.11,8.295263157894738,607.2923684210526,0.42105263157894735,Maintain current tariff
Agra_to_Coimbatore,47,493.1268085106383,2.6808510638297873,0.3191489361702128,25952.08,8.179574468085105,552.1719148936171,0.6578947368421051,Reduce tariff by 5-10% to gain more volume
Agra_to_Dehradun,41,460.3224390243902,3.048780487804878,0.43902439024390244,22245.18,8.19780487804878,542.5653658536586,0.5,Maintain current tariff
Agra_to_Delhi,34,538.7023529411765,3.264705882352941,0.47058823529411764,20392.0,8.70970588235294,599.7647058823529,0.3157894736842104,Maintain current tariff
Agra_to_Guwahati,35,442.07457142857146,2.6,0.2571428571428571,17780.91,7.437142857142858,508.026,0.3421052631578947,Maintain current tariff
Agra_to_Hyderabad,36,529.2144444444444,3.111111111111111,0.3611111111111111,21427.1,8.810277777777777,595.1972222222222,0.36842105263157887,Maintain current tariff
Agra_to_Indore,34,399.71999999999997,2.911764705882353,0.35294117647058826,15644.19,6.711470588235294,460.12323529411765,0.3157894736842104,Maintain current tariff
Agra_to_Jaipur,35,448.7377142857143,2.8285714285714287,0.34285714285714286,17919.65,8.364285714285714,511.99000000000007,0.3421052631578947,Maintain current tariff
Agra_to_Jamshedpur,37,457.2116216216216,3.5945945945945947,0.5675675675675675,19335.7,7.688108108108108,522.5864864864865,0.39473684210526305,Maintain current tariff
Agra_to_Kochi,40,482.35175,2.8,0.3,22000.46,7.78725,550.0115,0.4736842105263157,Maintain current tariff
Agra_to_Kolkata,32,512.8434375,3.1875,0.46875,18857.03,8.49,589.2821875,0.26315789473684204,Increase tariff by 10-15% to improve margin
Agra_to_Lucknow,37,406.19297297297294,3.054054054054054,0.3783783783783784,17413.9,6.975675675675676,470.645945945946,0.39473684210526305,Maintain current tariff
Agra_to_Ludhiana,40,430.058,3.1,0.5,19819.38,7.01525,495.4845,0.4736842105263157,Maintain current tariff
Agra_to_Meerut,40,420.38149999999996,3.2,0.45,19353.94,7.8732500000000005,483.84849999999994,0.4736842105263157,Maintain current tariff
Agra_to_Mumbai,30,469.48066666666665,3.033333333333333,0.43333333333333335,15650.92,7.4590000000000005,521.6973333333333,0.21052631578947367,Increase tariff by 10-15% to improve margin
Agra_to_Nagpur,40,470.74750000000006,2.85,0.35,21841.07,8.1625,546.02675,0.4736842105263157,Maintain current tariff
Agra_to_Nashik,44,488.6240909090909,3.1136363636363638,0.5,24476.22,8.639999999999999,556.2777272727272,0.5789473684210527,Maintain current tariff
Agra_to_Patna,44,399.97113636363633,3.340909090909091,0.5227272727272727,20359.89,7.568863636363636,462.7247727272727,0.5789473684210527,Maintain current tariff
